siteName,siteNo,year,vegTotal,Latitude,Longitude,CottonwoodSum,RusOliveSum,nmOliveSum,saltcedarSum
Savannah,12,2012,204.19,35.193151,-106.646915,142.47,0.47,7.54,
RGNC (Rio Grande Nature Center),13,2012,250.41,35.015056,-106.6736953,27.12,43.01,,2.22
Rt 66,14,2012,441.01,34.258342,-106.8831845,12.4,109.57,0.03,101.09
BioPark,15,2012,310.35,34.648634,-106.7391728,54.08,5.13,,
NHCC (National Hispanic Cultural Center),16,2012,286.95,34.647162,-106.738482,121.1,1.12,,
AOP/Umbreit (Albuquerque Overbank Project),17,2012,283.79,35.145288,-106.6803699,170.5,36.62,,
Harrison,18,2012,221.46,34.659664,-106.7421328,50.06,,1.68,
San Jose,19,2012,223.08,34.660546,-106.7429525,126.75,18.94,,9.29
VDO (Valle de Oro),20,2012,244.26,35.100641,-106.6914783,174.26,43.93,,5.91
SLO (State Land Office),21,2012,288.33,35.195569,-106.6416219,183.61,,,
Bosque Farms,22,2012,289.82,35.197056,-106.6439494,80.5,6.05,,
Los Lunas,23,2012,255.85,35.066889,-106.7202778,52.21,0.17,,
Reynolds Forest,24,2012,119.22,35.50989,-106.3896,153.7,,7.17,
Reynolds Cleared,25,2012,279.1,34.637511,-106.7434661,170.52,2.81,,19.78
Ohkay Owingeh,1,2013,356.5,35.188051,-106.646919,129.97,3.6,171.07,1.77
Santo Domingo,2,2013,186.68,35.126753,-106.6884322,170.52,,139,
Santa Ana,3,2013,406.61,34.812369,-106.714458,169.9,42.52,2.18,
Sandia,4,2013,352.98,34.648432,-106.7377022,54.52,84.98,,
Bobcat,6,2013,186.1,35.142853,-106.6819814,22.63,70.12,,25.13
Diversion,7,2013,299.78,34.167032,-106.8899486,172.98,,0.07,23.94
Minnow,8,2013,348.84,35.068813,-106.6580575,31.01,7.25,7.98,
Calabacillas,9,2013,455.22,36.0618,-106.0761,,2.96,24.94,
Alameda,10,2013,142.05,35.191958,-106.6441893,137.71,,0.29,13.87
Montano,11,2013,193.52,35.190568,-106.6491626,145.8,,16.15,0.34
Savannah,12,2013,208.8,35.193151,-106.646915,41.17,0.89,8.54,0.25
RGNC (Rio Grande Nature Center),13,2013,277.61,35.015056,-106.6736953,123.16,45.64,,105.85
Rt 66,14,2013,401.33,34.258342,-106.8831845,35.64,79.78,,
BioPark,15,2013,322.01,34.648634,-106.7391728,15.76,6.06,,
NHCC (National Hispanic Cultural Center),16,2013,250.34,34.647162,-106.738482,65.47,3.03,,
AOP/Umbreit (Albuquerque Overbank Project),17,2013,162.4,35.145288,-106.6803699,122.64,37.76,,
Harrison,18,2013,172.17,34.659664,-106.7421328,167.01,,1.91,1.25
San Jose,19,2013,236.23,34.660546,-106.7429525,62.3,17.69,,18.89
VDO (Valle de Oro),20,2013,275.78,35.100641,-106.6914783,135.5,48.33,,6.25
SLO (State Land Office),21,2013,304.34,35.195569,-106.6416219,154.11,,0.04,
Bosque Farms,22,2013,284.85,35.197056,-106.6439494,156.98,6.25,0.03,
Los Lunas,23,2013,207.36,35.066889,-106.7202778,73.35,,,
Reynolds Forest,24,2013,187.38,35.50989,-106.3896,52.47,,8.08,
Reynolds Cleared,25,2013,244.82,34.637511,-106.7434661,197.78,6.86,,28.76
Ohkay Owingeh,1,2014,381.72,35.188051,-106.646919,153.25,3.7,153.76,1.37
Santo Domingo,2,2014,213.47,35.126753,-106.6884322,140.78,,,
Santa Ana,3,2014,495.91,34.812369,-106.714458,198.98,45.3,1.86,
Sandia,4,2014,380.13,34.648432,-106.7377022,134.16,97.32,,
Badger,5,2014,221.64,35.34284,-106.5458,60.78,,5.88,
Bobcat,6,2014,317.76,35.142853,-106.6819814,18.5,76.45,,20.43
Diversion,7,2014,207.4,34.167032,-106.8899486,170.69,,2.24,26.37
Minnow,8,2014,381.27,35.068813,-106.6580575,0.88,8.08,7.43,
Calabacillas,9,2014,441.24,36.0618,-106.0761,37.74,4.34,34.44,
Alameda,10,2014,164.06,35.191958,-106.6441893,142.57,4.23,,10.74
Montano,11,2014,191.47,35.190568,-106.6491626,137.56,0.07,11.28,0.05
Savannah,12,2014,204.02,35.193151,-106.646915,47.8,2.79,7.92,0.22
RGNC (Rio Grande Nature Center),13,2014,403.23,35.015056,-106.6736953,110.21,54.64,,2.71
Rt 66,14,2014,412.37,34.258342,-106.8831845,34.93,83.93,0.2,137.15
BioPark,15,2014,323.91,34.648634,-106.7391728,21.75,9.95,,
NHCC (National Hispanic Cultural Center),16,2014,240.86,34.647162,-106.738482,56.56,1.68,,
AOP/Umbreit (Albuquerque Overbank Project),17,2014,283.84,35.145288,-106.6803699,128.85,41.11,,
Harrison,18,2014,160.49,34.659664,-106.7421328,156.63,,4.32,2.03
San Jose,19,2014,228.41,34.660546,-106.7429525,72.09,12.43,,10.07
VDO (Valle de Oro),20,2014,283.59,35.100641,-106.6914783,151.51,50.86,,3.07
SLO (State Land Office),21,2014,366.42,35.195569,-106.6416219,157.35,3.5,,
Bosque Farms,22,2014,307.01,35.197056,-106.6439494,143.91,7.43,,0.04
Los Lunas,23,2014,246.74,35.066889,-106.7202778,75.9,,,
Reynolds Forest,24,2014,251.13,35.50989,-106.3896,64.09,,7.75,
Reynolds Cleared,25,2014,284.81,34.637511,-106.7434661,,12.03,,23.97
Valencia Forest,28,2014,341.27,34.97895,-106.6801,,,,
Sevilleta,30,2014,183.27,34.96785,-106.6856,95.64,,0.13,0.14
,1,2015,,,,146.73,3.33,168.41,3.18
,2,2015,,,,137.53,,,
,3,2015,,,,107.37,42.78,1.74,
,4,2015,,,,182.29,106.88,,
,5,2015,,,,136.69,,6.13,
,6,2015,,,,46.49,84.58,0.35,30.83
,7,2015,,,,10.13,,2.56,26
,8,2015,,,,164.1,9.82,6.59,
,9,2015,,,,1.04,6.59,38.91,
,10,2015,,,,42.77,8,0.45,21.37
,11,2015,,,,139.98,0.11,17.3,1.19
,12,2015,,,,143.03,2.95,8.77,0.56
,13,2015,,,,58.39,61.59,4.67,2.29
,14,2015,,,,117.58,89.29,1.53,128.46
,15,2015,,,,33.9,12.72,,1.94
,16,2015,,,,21.05,1.34,,4.5
,17,2015,,,,61.44,40.35,,
,18,2015,,,,131.68,,5.47,2.13
,19,2015,,,,164,10.48,,15.58
,20,2015,,,,64.15,53.57,,3.48
,21,2015,,,,128.28,,,
,22,2015,,,,170.5,10.3,,
,23,2015,,,,170.61,,,
,24,2015,,,,68.68,,7.95,
,25,2015,,,,71.66,18.57,0.8,23.53
,28,2015,,,,,,,
,30,2015,,,,106.92,,0.39,1.72
